ISO_Code,Year,Carbon_stocks_in_forests,Forest_area,Index_of_carbon_stocks_in_forests,Index_of_forest_extent,Land_area,Share_of_forest_area
894.0,2002,1296.7142,46982.4,99.2437748498961,99.2437748730471,74339.0,63.2002044687176
894.0,2003,1295.7262,46946.6,99.1681584576705,99.1681523603518,74339.0,63.1520467049597
894.0,2004,1294.7381,46910.8,99.0925344119639,99.0925298476566,74339.0,63.1038889412018
894.0,2005,1293.75,46875.0,99.0169103662573,99.0169073349613,74339.0,63.0557311774439
894.0,2006,1292.7619,46839.2,98.9412863205507,98.941284822266,74339.0,63.0075734136859
894.0,2007,1291.7738,46803.4,98.8656622748441,98.8656623095707,74339.0,62.959415649928
894.0,2008,1290.7858,46767.6,98.7900458826186,98.7900397968754,74339.0,62.9112578861701
894.0,2009,1289.7977,46731.8,98.714421836912,98.7144172841801,74339.0,62.8631001224122
894.0,2010,1288.8096,46696.0,98.6387977912054,98.6387947714848,74339.0,62.8149423586543
894.0,2011,1283.6158,46507.82,98.2412912953134,98.2412907368759,74339.0,62.5618047054709
894.0,2012,1278.4221,46319.64,97.8437924529024,97.843786702267,74339.0,62.3086670522875
894.0,2013,1273.2283,46131.46,97.4462859570104,97.4462826676581,74339.0,62.0555293991041
894.0,2014,1268.0345,45943.28,97.0487794611184,97.0487786330492,74339.0,61.8023917459207
894.0,2015,1262.8408,45755.1,96.6512806187074,96.6512745984402,74339.0,61.5492540927373
894.0,2016,1257.6437,45566.8,96.2535215579426,96.2535170805485,74339.0,61.2959550168821
894.0,2017,1252.4513,45378.67,95.8561222107845,95.8561186639741,74339.0,61.0428846231453
894.0,2018,1247.2567,45190.46,95.4585544870446,95.4585512585445,74339.0,60.789706614294
894.0,2019,1242.0618,45002.24,95.0609638028616,95.060962729508,74339.0,60.5365151535533
894.0,2020,1236.8672,44814.03,94.6633960791217,94.6633953240784,74339.0,60.283337144702
895.0,1992,52618.6601,945840.6089,100.0,100.0,2986568.57,31.6698105779637
895.0,1993,53177.6998,950628.7545,101.062436213574,100.506231764099,2999104.57,31.6970859905695
895.0,1994,53393.5688,950883.6399,101.472688013202,100.533179792932,2999103.57,31.7055952789253
895.0,1995,53609.4382,951138.5255,101.882940573015,100.56012784291,2999102.57,31.7141045796243
895.0,1996,53825.3073,951393.4111,102.293192562689,100.587075892888,2999091.47,31.7227207178179
895.0,1997,54041.1769,951648.2965,102.703445502597,100.614023921721,2999087.37,31.7312628508052
895.0,1998,54257.0465,951903.1821,103.113698442504,100.640971971699,2999084.27,31.7397944306513
895.0,1999,54472.9153,952158.0675,103.523949862038,100.667920000532,2999080.17,31.7483366074872
895.0,2000,54755.4274,953166.9531,104.060854639664,100.77458549898,3002819.416,31.7424000930997
895.0,2001,54931.2242,953722.117,104.394950566216,100.833280790213,3002842.316,31.7606459692637
895.0,2002,55107.0214,954277.2811,104.729047252954,100.891976102592,3002843.716,31.7791191068433
895.0,2003,55282.8181,954832.4451,105.063142989458,100.950671404398,3002871.816,31.7973094959442
895.0,2004,55458.6155,955387.6092,105.397240056289,101.009366716777,3002837.916,31.8161564468537
895.0,2005,55634.4123,955942.7732,105.731335982841,101.068062018584,3002838.716,31.834635943198
895.0,2006,55562.6288,953139.5372,105.594913846923,100.771686923919,2992589.116,31.8499967838552
895.0,2007,55727.5842,953649.3013,105.908406056125,100.825582273221,2992586.116,31.8670629460342
895.0,2008,55892.5399,954159.0653,106.221898835467,100.879477611949,2991119.736,31.8997281792533
895.0,2009,56057.4956,954668.8294,106.535391614809,100.933372961251,2991120.696,31.9167605197834
895.0,2010,56222.4507,955178.5934,106.848883253871,100.987268299979,2991130.036,31.9337033797885
895.0,2011,56445.5501,956338.5036,107.27287618637,101.109901034193,2991125.816,31.9725268153013
895.0,2012,56668.6489,957498.4138,107.69686797859,101.232533768407,2991135.986,32.0111963575567
895.0,2013,56891.748,958658.324,108.12086034095,101.355166502621,2991273.112,32.0485053723172
895.0,2014,57114.8466,959818.2342,108.544851753076,101.477799236835,2991270.916,32.0873054013941
895.0,2015,57337.9461,960978.1444,108.968844875622,101.600431971049,2991273.243,32.1260569106759
895.0,2016,57568.1744,962013.8455,109.406386043646,101.709932566631,2992294.086,32.1497091479397
895.0,2017,57777.8499,961845.12,109.804867304099,101.692093884467,2992223.723,32.1448263579588
895.0,2018,57959.7625,961963.71,110.150586103579,101.704631937801,2992281.153,32.148172608565
895.0,2019,58035.0513,962100.59,110.293669944667,101.719103720754,2992285.698,32.1526982080305
895.0,2020,58102.5521,962252.19,110.42195295277,101.735131791295,2992205.5952,32.1586254481849
896.0,1992,55811.7552,685614.0711,100.0,100.0,2617083.5,26.1976383672894
896.0,1993,57006.7484,702769.4832,102.141113813242,102.502196618059,2727183.5,25.7690574616633
896.0,1994,56766.9408,699668.6553,101.711441606839,102.049926451692,2727183.5,25.655356718754
896.0,1995,56527.1333,696567.8275,101.28176957961,101.59765629991,2727183.5,25.5416559795115
896.0,1996,56287.3259,693466.9996,100.852097731555,101.145386133543,2727183.5,25.4279552366021
896.0,1997,56047.5177,690366.1717,100.422424450109,100.693115967176,2727183.5,25.3142544936929
896.0,1998,55807.7105,687265.3438,99.9927529604015,100.240845800809,2727183.5,25.2005537507835
896.0,1999,55567.9025,684164.5159,99.5630800373037,99.7885756344419,2727183.5,25.0868530078742
896.0,2000,55328.0951,681063.688,99.1334081892483,99.3363054680748,2727183.5,24.9731522649649
896.0,2001,55079.0878,677834.8392,98.6872525377951,98.8653628582156,2727183.5,24.8547572688086
896.0,2002,54830.0808,674605.9904,98.2410974238631,98.3944202483565,2727183.5,24.7363622726524
896.0,2003,54581.0739,671377.1416,97.7949424891049,97.9234776384974,2727183.5,24.6179672764961
896.0,2004,54332.0665,668148.2928,97.348786658478,97.4525350286382,2742041.4922,24.3668192002423
896.0,2005,54083.0598,664919.444,96.9026320820672,96.981592418779,2742046.0092,24.2490257920213
896.0,2006,53834.0528,661690.5952,96.4564769681352,96.5106498089199,2742045.2252,24.1312794230714
896.0,2007,53585.0458,658461.7464,96.0103218542032,96.0397071990607,2742049.8665,24.0134854746632
896.0,2008,53336.0385,655232.8976,95.5641662027501,95.5687645892015,2742046.089,23.8957652910552
896.0,2009,53087.0315,652004.0488,95.1180110888181,95.0978219793424,2742049.3284,23.7779839351194
896.0,2010,52838.0245,648775.2,94.6718559748861,94.6268793694832,2742118.1055,23.6596373693285
896.0,2011,52532.0036,645042.838,94.1235469333529,94.0824970183433,2742146.405,23.5232822297101
896.0,2012,52890.579,668200.15,94.766019829457,97.4600986423658,2992139.4142,22.3318521466238
896.0,2013,52578.6891,664293.54,94.2071950820855,96.8903014102681,2992136.6326,22.2013103533566
896.0,2014,52266.7998,660386.93,93.6483714097564,96.3205041781704,2992131.9467,22.0707823640042
896.0,2015,51954.91,656480.32,93.0895468415586,95.7507069460727,2992137.4128,21.9401795248994
896.0,2016,51666.6077,652479.3843,92.5729848754156,95.1671518720672,2992138.1968,21.8064588392945
896.0,2017,51265.4387,648546.99,91.854195440175,94.5935938799316,2992137.0053,21.6750432500659
896.0,2018,50960.3994,644616.828,91.3076451679126,94.0203614791301,2992138.5143,21.5436827178706
896.0,2019,50654.3608,640606.55,90.7593044126303,93.4354437872329,2992139.7404,21.4096467939148
896.0,2020,50343.8299,636636.97,90.2029146361625,92.8564620878592,2992135.1094,21.2770127926363
897.0,1992,143539.8246,1710039.454,100.0,100.0,3854096.6,44.3693978505884
897.0,1993,143225.9246,1704648.846,99.7813150455807,99.684767039299,3854096.6,44.2295308840988
