ISO_Code,Year,"Climate related disasters frequency, Number of Disasters: Drought","Climate related disasters frequency, Number of Disasters: Extreme temperature","Climate related disasters frequency, Number of Disasters: Flood","Climate related disasters frequency, Number of Disasters: Landslide","Climate related disasters frequency, Number of Disasters: Storm","Climate related disasters frequency, Number of Disasters: TOTAL","Climate related disasters frequency, Number of Disasters: Wildfire"
4.0,F1980,,,1.0,,,1.0,
4.0,F1981,,,,,,,
4.0,F1982,,,,,,,
4.0,F1983,,,,,,,
4.0,F1984,,,,,,,
4.0,F1985,,,,,,,
4.0,F1986,,,,,,,
4.0,F1987,,,,1.0,,1.0,
4.0,F1988,,,1.0,,,1.0,
4.0,F1989,,,,,,,
4.0,F1990,,1.0,,,,1.0,
4.0,F1991,,1.0,3.0,,,4.0,
4.0,F1992,,,2.0,,,2.0,
4.0,F1993,,,,2.0,1.0,3.0,
4.0,F1994,,,,,,,
4.0,F1995,,,2.0,1.0,,3.0,
4.0,F1996,,,1.0,,,1.0,
4.0,F1997,,,2.0,1.0,,3.0,
4.0,F1998,,,1.0,1.0,,2.0,
4.0,F1999,,,1.0,,,2.0,1.0
4.0,F2000,1.0,,,,,1.0,
4.0,F2001,,2.0,,,,2.0,
4.0,F2002,,,4.0,1.0,,5.0,
4.0,F2003,,,8.0,,,8.0,
4.0,F2004,,,2.0,,,2.0,
4.0,F2005,,1.0,8.0,,1.0,10.0,
4.0,F2006,1.0,,7.0,2.0,2.0,12.0,
4.0,F2007,,,7.0,,,7.0,
4.0,F2008,1.0,1.0,1.0,,,3.0,
4.0,F2009,,,3.0,1.0,,4.0,
4.0,F2010,,,2.0,2.0,,4.0,
4.0,F2011,1.0,,2.0,,1.0,4.0,
4.0,F2012,,1.0,6.0,3.0,,10.0,
4.0,F2013,,,4.0,1.0,,5.0,
4.0,F2014,,,2.0,,1.0,3.0,
4.0,F2015,,,1.0,4.0,,5.0,
4.0,F2016,,,4.0,,,4.0,
4.0,F2017,,,1.0,2.0,2.0,5.0,
4.0,F2018,1.0,,3.0,1.0,,5.0,
4.0,F2019,,,6.0,1.0,,7.0,
4.0,F2020,,,5.0,1.0,1.0,7.0,
4.0,F2021,1.0,,2.0,1.0,,4.0,
4.0,F2022,,,5.0,1.0,,6.0,
8.0,F1980,,,,,,,
8.0,F1981,,,,,,,
8.0,F1982,,,,,,,
8.0,F1983,,,,,,,
8.0,F1984,,,,,,,
8.0,F1985,,1.0,,1.0,,2.0,
8.0,F1986,,,,,,,
8.0,F1987,,,,,,,
8.0,F1988,,,,,,,
8.0,F1989,1.0,,,,,1.0,
8.0,F1990,,,,,,,
8.0,F1991,,,,,,,
8.0,F1992,,,1.0,,,1.0,
8.0,F1993,,,,,,,
8.0,F1994,,,,,,,
8.0,F1995,,,2.0,,,2.0,
8.0,F1996,,,,,,,
8.0,F1997,,,1.0,,,1.0,
8.0,F1998,,,,,,,
8.0,F1999,,,,,,,
8.0,F2000,,,,,,,
8.0,F2001,,,,,,,
8.0,F2002,,,1.0,,1.0,2.0,
8.0,F2003,,,,,,,
8.0,F2004,,1.0,1.0,,,2.0,
8.0,F2005,,,1.0,,1.0,2.0,
8.0,F2006,,,,,,,
8.0,F2007,,1.0,,,,2.0,1.0
8.0,F2008,,,,,,,
8.0,F2009,,,1.0,,,1.0,
8.0,F2010,,,1.0,,,1.0,
8.0,F2011,,,,,,,
8.0,F2012,,1.0,,,,1.0,
8.0,F2013,,,,,,,
8.0,F2014,,,,,,,
8.0,F2015,,,3.0,,,3.0,
8.0,F2016,,,1.0,,,1.0,
8.0,F2017,,1.0,1.0,,,2.0,
8.0,F2018,,,1.0,,,1.0,
8.0,F2019,,,,,,,
8.0,F2020,,,,,,,
8.0,F2021,,,1.0,,,1.0,
8.0,F2022,,,,,,,
12.0,F1980,,,,,,,
12.0,F1981,1.0,,1.0,,,2.0,
12.0,F1982,,,1.0,,,1.0,
12.0,F1983,,,,,,,
12.0,F1984,,,1.0,,,1.0,
12.0,F1985,,,1.0,,,1.0,
12.0,F1986,,,,,,,
12.0,F1987,,,,,,,
12.0,F1988,,,,,1.0,1.0,
12.0,F1989,,,,,,,
12.0,F1990,,,,,,,
12.0,F1991,,,,,,,
12.0,F1992,,,1.0,,,1.0,
12.0,F1993,,,1.0,1.0,,2.0,
12.0,F1994,,,2.0,,,3.0,1.0
12.0,F1995,,,,,,,
12.0,F1996,,,1.0,,,1.0,
12.0,F1997,,,1.0,,,1.0,
12.0,F1998,,,,,,,
12.0,F1999,,,1.0,,,1.0,
12.0,F2000,,,4.0,,1.0,5.0,
12.0,F2001,,,1.0,,,1.0,
12.0,F2002,,,3.0,,,3.0,
12.0,F2003,,1.0,3.0,,1.0,5.0,
12.0,F2004,,,2.0,,,2.0,
12.0,F2005,,,2.0,,1.0,3.0,
12.0,F2006,,,1.0,,,1.0,
12.0,F2007,,,6.0,,,7.0,1.0
12.0,F2008,,,1.0,,,1.0,
12.0,F2009,,,2.0,,,2.0,
12.0,F2010,,,,,,,
12.0,F2011,,,1.0,,,1.0,
12.0,F2012,,,2.0,,,2.0,
12.0,F2013,,,,,,,
12.0,F2014,,,,,,,
12.0,F2015,,,2.0,,,2.0,
12.0,F2016,,,,,,,
12.0,F2017,,1.0,,,,1.0,
12.0,F2018,,,1.0,,,1.0,
12.0,F2019,,1.0,,,,1.0,
12.0,F2020,,,,,,,
12.0,F2021,,,2.0,,,3.0,1.0
12.0,F2022,,,,,,1.0,1.0
16.0,F1980,,,,,,,
16.0,F1981,,,,,,,
16.0,F1982,,,,,,,
16.0,F1983,,,,,,,
16.0,F1984,,,,,,,
16.0,F1985,,,,,,,
16.0,F1986,,,,,,,
16.0,F1987,,,,,,,
16.0,F1988,,,,,,,
16.0,F1989,,,,,1.0,1.0,
16.0,F1990,,,,,,,
16.0,F1991,,,,,,,
16.0,F1992,,,,,,,
16.0,F1993,,,,,,,
16.0,F1994,,,,,,,
16.0,F1995,,,,,,,
16.0,F1996,,,,,,,
16.0,F1997,,,,,,,
16.0,F1998,,,,,,,
16.0,F1999,,,,,,,
16.0,F2000,,,,,,,
16.0,F2001,,,,,,,
16.0,F2002,,,,,,,
16.0,F2003,,,1.0,,,1.0,
16.0,F2004,,,,,1.0,1.0,
16.0,F2005,,,,,1.0,1.0,
16.0,F2006,,,,,,,
16.0,F2007,,,,,,,
16.0,F2008,,,,,,,
16.0,F2009,,,,,,,
16.0,F2010,,,,,,,
16.0,F2011,,,,,,,
16.0,F2012,,,,,,,
16.0,F2013,,,,,,,
16.0,F2014,,,,,,,
16.0,F2015,,,,,,,
16.0,F2016,,,,,,,
16.0,F2017,,,,,,,
16.0,F2018,,,,,,,
16.0,F2019,,,,,,,
16.0,F2020,,,,,,,
16.0,F2021,,,,,,,
16.0,F2022,,,,,,,
24.0,F1980,,,,,,,
24.0,F1981,1.0,,,,,1.0,
24.0,F1982,,,,,,,
24.0,F1983,,,,,,,
24.0,F1984,,,,,,,
24.0,F1985,1.0,,,,,1.0,
24.0,F1986,,,,,,,
24.0,F1987,,,,,,,
24.0,F1988,,,,,,,
24.0,F1989,1.0,,1.0,,,2.0,
24.0,F1990,,,,,,,
24.0,F1991,,,,,,,
24.0,F1992,,,,,,,
24.0,F1993,,,,,,,
24.0,F1994,,,,,,,
24.0,F1995,,,,,,,
24.0,F1996,,,,,,,
24.0,F1997,1.0,,,,,1.0,
24.0,F1998,,,,,,,
24.0,F1999,,,,,,,
24.0,F2000,,,4.0,1.0,,5.0,
24.0,F2001,1.0,,2.0,,,3.0,
24.0,F2002,,,1.0,,,1.0,
24.0,F2003,,,2.0,,,2.0,
24.0,F2004,1.0,,3.0,,,4.0,
24.0,F2005,,,1.0,,,1.0,
24.0,F2006,,,1.0,,,1.0,
24.0,F2007,,,2.0,,,2.0,
24.0,F2008,,,1.0,,,1.0,
24.0,F2009,,,3.0,,,3.0,
24.0,F2010,,,3.0,,,3.0,
24.0,F2011,,,4.0,,,4.0,
24.0,F2012,1.0,,,,,1.0,
24.0,F2013,,,1.0,,,1.0,
24.0,F2014,,,,,,,
24.0,F2015,,,3.0,,,3.0,
24.0,F2016,,,4.0,,,4.0,
24.0,F2017,1.0,,1.0,,,2.0,
24.0,F2018,,,1.0,,,1.0,
24.0,F2019,,,3.0,,,3.0,
24.0,F2020,1.0,,2.0,,,3.0,
24.0,F2021,,,2.0,,,2.0,
24.0,F2022,,,,,,,
28.0,F1980,,,,,,,
28.0,F1981,,,,,,,
28.0,F1982,,,,,,,
28.0,F1983,1.0,,,,,1.0,
28.0,F1984,,,,,,,
28.0,F1985,,,,,,,
28.0,F1986,,,,,,,
28.0,F1987,,,,,,,
28.0,F1988,,,,,,,
28.0,F1989,,,,,1.0,1.0,
28.0,F1990,,,,,1.0,1.0,
28.0,F1991,,,,,,,
28.0,F1992,,,,,,,
28.0,F1993,,,,,,,
28.0,F1994,,,,,,,
28.0,F1995,,,,,1.0,1.0,
28.0,F1996,,,,,,,
28.0,F1997,,,,,,,
28.0,F1998,,,,,1.0,1.0,
28.0,F1999,,,,,2.0,2.0,
28.0,F2000,,,,,,,
28.0,F2001,,,,,,,
28.0,F2002,,,,,,,
28.0,F2003,,,,,,,
28.0,F2004,,,,,,,
28.0,F2005,,,,,,,
28.0,F2006,,,,,,,
28.0,F2007,,,,,,,
28.0,F2008,,,,,1.0,1.0,
28.0,F2009,,,,,,,
28.0,F2010,,,,,1.0,1.0,
28.0,F2011,,,,,,,
28.0,F2012,,,,,,,
28.0,F2013,,,,,,,
28.0,F2014,,,,,,,
28.0,F2015,,,,,,,
28.0,F2016,,,,,,,
28.0,F2017,,,,,1.0,1.0,
28.0,F2018,,,,,,,
28.0,F2019,,,,,,,
28.0,F2020,,,,,,,
28.0,F2021,,,,,,,
28.0,F2022,,,,,,,
31.0,F1980,,,,,,,
31.0,F1981,,,,,,,
31.0,F1982,,,,,,,
31.0,F1983,,,,,,,
31.0,F1984,,,,,,,
31.0,F1985,,,,,,,
31.0,F1986,,,,,,,
31.0,F1987,,,,,,,
31.0,F1988,,,,,,,
31.0,F1989,,,,,,,
31.0,F1990,,,,,,,
31.0,F1991,,,,,,,
31.0,F1992,,,,,,,
31.0,F1993,,,,,,,
31.0,F1994,,,,,,,
31.0,F1995,,,3.0,,,3.0,
31.0,F1996,,,,,,,
31.0,F1997,,,1.0,,,1.0,
31.0,F1998,,,,,,,
31.0,F1999,,,,,,,
31.0,F2000,1.0,,,1.0,,2.0,
31.0,F2001,,,,,,,
31.0,F2002,,,,,,,
31.0,F2003,,,1.0,,,1.0,
31.0,F2004,,,,,,,
31.0,F2005,,,,,,,
31.0,F2006,,,,,,,
31.0,F2007,,,,,,,
31.0,F2008,,,,,,,
31.0,F2009,,,1.0,,,1.0,
31.0,F2010,,,1.0,,,1.0,
31.0,F2011,,,,,,,
31.0,F2012,,1.0,,,,1.0,
31.0,F2013,,,,,,,
31.0,F2014,,,,,,,
31.0,F2015,,,,,,,
31.0,F2016,,,,,,,
31.0,F2017,,,,,,,
31.0,F2018,,,,,,,
31.0,F2019,,,,,,,
31.0,F2020,,,,,,,
31.0,F2021,,,,,,,
31.0,F2022,,,,,,,
32.0,F1980,,,2.0,,,2.0,
32.0,F1981,,,,,,,
32.0,F1982,,,1.0,,,1.0,
32.0,F1983,,,2.0,,,2.0,
32.0,F1984,,,,1.0,,1.0,
32.0,F1985,,,2.0,,,2.0,
32.0,F1986,,,1.0,,1.0,2.0,
32.0,F1987,,,1.0,,1.0,3.0,1.0
32.0,F1988,,,1.0,,,1.0,
32.0,F1989,,,,,,,
32.0,F1990,,,1.0,,,1.0,
32.0,F1991,,,,,,,
32.0,F1992,,,2.0,,,2.0,
32.0,F1993,,,3.0,,1.0,4.0,
32.0,F1994,,,,,,1.0,1.0
32.0,F1995,,1.0,2.0,,1.0,4.0,
32.0,F1996,,,,,,,
32.0,F1997,,,1.0,,,1.0,
32.0,F1998,,,1.0,,1.0,2.0,
32.0,F1999,,,,,,1.0,1.0
32.0,F2000,,1.0,4.0,,2.0,8.0,1.0
32.0,F2001,,1.0,3.0,,2.0,7.0,1.0
32.0,F2002,,1.0,1.0,,1.0,3.0,
32.0,F2003,1.0,,2.0,,1.0,4.0,
32.0,F2004,,1.0,2.0,,,3.0,
32.0,F2005,,,,,1.0,1.0,
32.0,F2006,,,1.0,,,1.0,
32.0,F2007,,1.0,2.0,,,3.0,
32.0,F2008,,,1.0,,,1.0,
32.0,F2009,1.0,,2.0,1.0,1.0,5.0,
32.0,F2010,,1.0,,,,1.0,
32.0,F2011,,,,,,,
32.0,F2012,,,1.0,,2.0,3.0,
32.0,F2013,,,1.0,,1.0,2.0,
32.0,F2014,,,3.0,1.0,,4.0,
32.0,F2015,,,3.0,,1.0,4.0,
32.0,F2016,,,2.0,,,2.0,
32.0,F2017,,,3.0,1.0,,4.0,
32.0,F2018,1.0,,3.0,,1.0,5.0,
32.0,F2019,1.0,,3.0,,,4.0,
32.0,F2020,,,1.0,,1.0,2.0,
32.0,F2021,,,1.0,,,2.0,1.0
32.0,F2022,,,,,,1.0,1.0
36.0,F1980,,,,,,,
36.0,F1981,1.0,,1.0,,,2.0,
36.0,F1982,,,,,3.0,3.0,
36.0,F1983,,,,,,1.0,1.0
36.0,F1984,,,1.0,,,1.0,
36.0,F1985,,,,,1.0,3.0,2.0
36.0,F1986,,,1.0,,3.0,4.0,
36.0,F1987,,,,,,,
36.0,F1988,,,2.0,,1.0,3.0,
36.0,F1989,,,1.0,,2.0,3.0,
36.0,F1990,,,2.0,,1.0,4.0,1.0
36.0,F1991,1.0,,,,2.0,3.0,
36.0,F1992,1.0,,,,2.0,3.0,
36.0,F1993,,1.0,1.0,,2.0,4.0,
36.0,F1994,,2.0,,,4.0,8.0,2.0
36.0,F1995,,1.0,,,4.0,5.0,
36.0,F1996,,,2.0,1.0,6.0,9.0,
36.0,F1997,,,1.0,1.0,,4.0,2.0
36.0,F1998,,,6.0,,,6.0,
36.0,F1999,,,,,4.0,5.0,1.0
36.0,F2000,,,1.0,,3.0,5.0,1.0
36.0,F2001,,,4.0,,3.0,9.0,2.0
36.0,F2002,1.0,,,,3.0,5.0,1.0
36.0,F2003,,,4.0,,5.0,10.0,1.0
36.0,F2004,,,3.0,,3.0,6.0,
36.0,F2005,,,1.0,,2.0,4.0,1.0
36.0,F2006,1.0,,1.0,,3.0,8.0,3.0
36.0,F2007,,,1.0,,1.0,2.0,
36.0,F2008,,,4.0,,1.0,5.0,
36.0,F2009,,1.0,2.0,,2.0,6.0,1.0
36.0,F2010,,,5.0,,3.0,8.0,
36.0,F2011,,,1.0,,1.0,3.0,1.0
36.0,F2012,,,2.0,,,2.0,
36.0,F2013,,,,,1.0,3.0,2.0
36.0,F2014,,1.0,,,1.0,4.0,2.0
36.0,F2015,,,1.0,,4.0,8.0,3.0
36.0,F2016,,,1.0,,1.0,3.0,1.0
36.0,F2017,,,,,2.0,3.0,1.0
36.0,F2018,1.0,1.0,1.0,,,3.0,
36.0,F2019,,,1.0,,,3.0,2.0
36.0,F2020,,,1.0,,2.0,3.0,
36.0,F2021,,,4.0,,2.0,7.0,1.0
36.0,F2022,,,5.0,,,5.0,
40.0,F1980,,,1.0,,,1.0,
40.0,F1981,,,,,1.0,1.0,
40.0,F1982,,,1.0,1.0,,2.0,
40.0,F1983,,,1.0,,,1.0,
40.0,F1984,,,,1.0,1.0,2.0,
40.0,F1985,,,1.0,,,1.0,
40.0,F1986,,,,,,,
40.0,F1987,,,,,,,
40.0,F1988,,,,,,,
40.0,F1989,,,,,,,
40.0,F1990,,,,,5.0,5.0,
40.0,F1991,,,1.0,,1.0,2.0,
40.0,F1992,,,,,,,
40.0,F1993,,,,,1.0,1.0,
40.0,F1994,,,,,1.0,1.0,
40.0,F1995,,,1.0,,,1.0,
40.0,F1996,,,1.0,,,1.0,
40.0,F1997,,,1.0,,,1.0,
40.0,F1998,,,,,,,
40.0,F1999,,,1.0,1.0,,2.0,
40.0,F2000,,,,1.0,1.0,2.0,
40.0,F2001,,,,,,,
40.0,F2002,,,1.0,,2.0,3.0,
40.0,F2003,,1.0,,,,1.0,
40.0,F2004,,,,,,,
40.0,F2005,,1.0,2.0,,,3.0,
40.0,F2006,,,1.0,,,1.0,
40.0,F2007,,1.0,,,1.0,2.0,
40.0,F2008,,,,,1.0,1.0,
40.0,F2009,,1.0,2.0,,1.0,4.0,
40.0,F2010,,,,,,,
40.0,F2011,,,,,,,
40.0,F2012,,1.0,,,,1.0,
40.0,F2013,,,1.0,,,1.0,
40.0,F2014,,,,,,,
40.0,F2015,,,,,,,
40.0,F2016,,,1.0,,,1.0,
40.0,F2017,,,,,2.0,2.0,
40.0,F2018,,,,,,,
40.0,F2019,,1.0,,,1.0,2.0,
40.0,F2020,,,,,,,
40.0,F2021,,,1.0,,,1.0,
40.0,F2022,,,,,1.0,1.0,
44.0,F1980,,,,,,,
44.0,F1981,,,,,,,
44.0,F1982,,,,,,,
44.0,F1983,,,,,,,
44.0,F1984,,,,,,,
44.0,F1985,,,,,,,
44.0,F1986,,,,,,,
44.0,F1987,,,,,,,
44.0,F1988,,,1.0,,,1.0,
44.0,F1989,,,,,,,
44.0,F1990,,,,,1.0,1.0,
44.0,F1991,,,,,,,
44.0,F1992,,,,,1.0,1.0,
44.0,F1993,,,,,,,
44.0,F1994,,,,,,,
44.0,F1995,,,,,1.0,1.0,
44.0,F1996,,,,,,,
44.0,F1997,,,,,,,
44.0,F1998,,,,,,,
44.0,F1999,,,,,1.0,1.0,
44.0,F2000,,,,,,,
44.0,F2001,,,,,1.0,1.0,
44.0,F2002,,,,,,,
44.0,F2003,,,,,,,
44.0,F2004,,,,,3.0,3.0,
44.0,F2005,,,,,1.0,1.0,
44.0,F2006,,,,,,,
44.0,F2007,,,,,1.0,1.0,
44.0,F2008,,,,,2.0,2.0,
44.0,F2009,,,,,,,
44.0,F2010,,,,,,,
44.0,F2011,,,,,1.0,1.0,
44.0,F2012,,,,,1.0,1.0,
44.0,F2013,,,1.0,,,1.0,
44.0,F2014,,,,,,,
44.0,F2015,,,,,1.0,1.0,
44.0,F2016,,,,,1.0,1.0,
44.0,F2017,,,,,1.0,1.0,
44.0,F2018,,,,,,,
44.0,F2019,,,,,1.0,1.0,
44.0,F2020,,,,,,,
44.0,F2021,,,,,,,
44.0,F2022,,,,,,,
50.0,F1980,,,1.0,,1.0,2.0,
50.0,F1981,,,,,3.0,3.0,
50.0,F1982,1.0,,1.0,,,2.0,
50.0,F1983,,,4.0,,4.0,8.0,
50.0,F1984,,,1.0,,,1.0,
50.0,F1985,,,2.0,,3.0,5.0,
50.0,F1986,,,2.0,,4.0,6.0,
50.0,F1987,,,2.0,,1.0,3.0,
50.0,F1988,,,2.0,,4.0,6.0,
50.0,F1989,1.0,2.0,1.0,,2.0,6.0,
50.0,F1990,,2.0,2.0,,4.0,8.0,
50.0,F1991,,1.0,3.0,,2.0,6.0,
50.0,F1992,,,3.0,,2.0,5.0,
50.0,F1993,,,3.0,,8.0,11.0,
50.0,F1994,,1.0,4.0,,4.0,9.0,
50.0,F1995,,1.0,4.0,,4.0,9.0,
50.0,F1996,,1.0,2.0,,4.0,7.0,
50.0,F1997,,1.0,1.0,,5.0,7.0,
50.0,F1998,,1.0,1.0,,5.0,7.0,
50.0,F1999,,,5.0,,6.0,11.0,
50.0,F2000,,1.0,3.0,,7.0,11.0,
50.0,F2001,,1.0,2.0,,4.0,7.0,
50.0,F2002,,1.0,1.0,,4.0,6.0,
50.0,F2003,,2.0,2.0,,3.0,7.0,
50.0,F2004,,,3.0,,4.0,7.0,
50.0,F2005,,2.0,3.0,,7.0,12.0,
50.0,F2006,,,2.0,,5.0,7.0,
50.0,F2007,,1.0,2.0,,2.0,5.0,
50.0,F2008,,,2.0,1.0,2.0,5.0,
50.0,F2009,1.0,1.0,2.0,,2.0,6.0,
50.0,F2010,,,2.0,1.0,3.0,6.0,
50.0,F2011,,2.0,1.0,1.0,1.0,5.0,
50.0,F2012,,1.0,2.0,,2.0,5.0,
50.0,F2013,,,,,3.0,3.0,
50.0,F2014,,,2.0,,2.0,4.0,
50.0,F2015,,,2.0,1.0,4.0,7.0,
50.0,F2016,,,1.0,,2.0,3.0,
50.0,F2017,,,2.0,1.0,2.0,5.0,
50.0,F2018,,1.0,2.0,,1.0,4.0,
50.0,F2019,,1.0,1.0,1.0,3.0,6.0,
50.0,F2020,,,1.0,,1.0,2.0,
50.0,F2021,,,1.0,,1.0,2.0,
50.0,F2022,,,1.0,,1.0,2.0,
51.0,F1980,,,,,,,
51.0,F1981,,,,,,,
51.0,F1982,,,,,,,
51.0,F1983,,,,,,,
51.0,F1984,,,,,,,
51.0,F1985,,,,,,,
51.0,F1986,,,,,,,
51.0,F1987,,,,,,,
51.0,F1988,,,,,,,
51.0,F1989,,,,,,,
51.0,F1990,,,,,,,
51.0,F1991,,,,,,,
51.0,F1992,,,,,,,
51.0,F1993,,,,,,,
51.0,F1994,,,,,,,
51.0,F1995,,,,,,,
51.0,F1996,,,,,,,
51.0,F1997,,,1.0,,,1.0,
51.0,F1998,,,1.0,,,1.0,
51.0,F1999,,,,,,,
51.0,F2000,1.0,,,,,1.0,
51.0,F2001,,,,,,,
51.0,F2002,,,,,,,
51.0,F2003,,,,,,,
51.0,F2004,,,1.0,,,1.0,
51.0,F2005,,,,,,,
51.0,F2006,,,,,,,
51.0,F2007,,,,,,,
51.0,F2008,,,,,,,
51.0,F2009,,,,,,,
51.0,F2010,,,,,,,
51.0,F2011,,,,,,,
51.0,F2012,,,,,,,
51.0,F2013,,1.0,,,1.0,2.0,
51.0,F2014,,,,,,,
51.0,F2015,,,,,,,
51.0,F2016,,,,1.0,,1.0,
51.0,F2017,,,,,,,
51.0,F2018,,,,,1.0,1.0,
51.0,F2019,,,,,1.0,1.0,
51.0,F2020,,,,,1.0,1.0,
51.0,F2021,,,,,,,
51.0,F2022,,,,,,,
52.0,F1980,,,,,1.0,1.0,
52.0,F1981,,,,,,,
52.0,F1982,,,,,,,
52.0,F1983,,,,,,,
52.0,F1984,,,1.0,,,1.0,
52.0,F1985,,,,,,,
52.0,F1986,,,,,,,
52.0,F1987,,,,,1.0,1.0,
52.0,F1988,,,,,,,
52.0,F1989,,,,,,,
52.0,F1990,,,,,,,
52.0,F1991,,,,,,,
52.0,F1992,,,,,,,
52.0,F1993,,,,,,,
52.0,F1994,,,,,,,
52.0,F1995,,,,,1.0,1.0,
52.0,F1996,,,,,,,
52.0,F1997,,,,,,,
52.0,F1998,,,,,,,
52.0,F1999,,,,,,,
52.0,F2000,,,,,,,
52.0,F2001,,,,,,,
52.0,F2002,,,,,1.0,1.0,
52.0,F2003,,,,,,,
52.0,F2004,,,,,1.0,1.0,
52.0,F2005,,,,,,,
52.0,F2006,,,,,,,
52.0,F2007,,,,,,,
52.0,F2008,,,,,,,
52.0,F2009,,,,,,,
52.0,F2010,1.0,,,,1.0,2.0,
52.0,F2011,,,,,,,
52.0,F2012,,,,,,,
52.0,F2013,,,,,,,
52.0,F2014,,,,,,,
52.0,F2015,,,,,,,
52.0,F2016,,,,,,,
52.0,F2017,,,,,1.0,1.0,
52.0,F2018,,,,,,,
52.0,F2019,,,,,,,
52.0,F2020,,,,,,,
52.0,F2021,,,,,1.0,1.0,
52.0,F2022,,,,,,,
56.0,F1980,,,,,,,
56.0,F1981,,,,,,,
56.0,F1982,,,,,,,
56.0,F1983,,,,,,,
56.0,F1984,,,,,1.0,1.0,
56.0,F1985,,1.0,,,1.0,2.0,
56.0,F1986,,,,,,,
56.0,F1987,,,,,,,
56.0,F1988,,,,,,,
56.0,F1989,,,,,,,
56.0,F1990,,,,,6.0,6.0,
56.0,F1991,,,,,,,
56.0,F1992,,,,,,,
56.0,F1993,,,2.0,,,2.0,
56.0,F1994,,,1.0,,,1.0,
56.0,F1995,,,,,1.0,1.0,
56.0,F1996,,,,,,,
56.0,F1997,,,,,,,
56.0,F1998,,,1.0,,1.0,2.0,
56.0,F1999,,,,,2.0,2.0,
56.0,F2000,,,,,,,
56.0,F2001,,,,,,,
56.0,F2002,,,4.0,,1.0,5.0,
56.0,F2003,,1.0,1.0,,,2.0,
56.0,F2004,,,,,,,
56.0,F2005,,2.0,1.0,,,3.0,
56.0,F2006,,1.0,,,,1.0,
56.0,F2007,,,,,1.0,1.0,
56.0,F2008,,1.0,,,1.0,2.0,
56.0,F2009,,,,,,,
56.0,F2010,,,1.0,,2.0,3.0,
56.0,F2011,,,1.0,,1.0,2.0,
56.0,F2012,,1.0,,,,1.0,
56.0,F2013,,,,,2.0,2.0,
56.0,F2014,,,,,1.0,1.0,
56.0,F2015,,1.0,,,,1.0,
56.0,F2016,,,1.0,,1.0,2.0,
56.0,F2017,,,,,,,
56.0,F2018,,1.0,,,1.0,2.0,
56.0,F2019,,3.0,,,,3.0,
56.0,F2020,,1.0,,,1.0,2.0,
56.0,F2021,,,1.0,,2.0,3.0,
56.0,F2022,,,,,1.0,1.0,
60.0,F1980,,,,,,,
60.0,F1981,,,,,,,
60.0,F1982,,,,,,,
60.0,F1983,,,,,,,
60.0,F1984,,,,,,,
60.0,F1985,,,,,1.0,1.0,
60.0,F1986,,,,,1.0,1.0,
60.0,F1987,,,,,1.0,1.0,
60.0,F1988,,,,,,,
60.0,F1989,,,,,1.0,1.0,
60.0,F1990,,,,,,,
60.0,F1991,,,,,,,
60.0,F1992,,,,,,,
60.0,F1993,,,,,,,
60.0,F1994,,,,,,,
60.0,F1995,,,,,,,
60.0,F1996,,,,,,,
60.0,F1997,,,,,,,
60.0,F1998,,,,,,,
60.0,F1999,,,,,,,
60.0,F2000,,,,,,,
60.0,F2001,,,,,,,
60.0,F2002,,,,,,,
60.0,F2003,,,,,1.0,1.0,
60.0,F2004,,,,,,,
60.0,F2005,,,,,,,
60.0,F2006,,,,,,,
60.0,F2007,,,,,,,
60.0,F2008,,,,,,,
60.0,F2009,,,,,,,
60.0,F2010,,,,,,,
60.0,F2011,,,,,,,
60.0,F2012,,,,,,,
60.0,F2013,,,,,,,
60.0,F2014,,,,,,,
60.0,F2015,,,,,,,
60.0,F2016,,,,,,,
60.0,F2017,,,,,,,
60.0,F2018,,,,,,,
60.0,F2019,,,,,,,
60.0,F2020,,,,,,,
60.0,F2021,,,,,,,
60.0,F2022,,,,,,,
64.0,F1980,,,,,,,
64.0,F1981,,,,,,,
64.0,F1982,,,,,,,
64.0,F1983,,,,,,,
64.0,F1984,,,,,,,
64.0,F1985,,,,,,,
64.0,F1986,,,,,,,
64.0,F1987,,,,,,,
64.0,F1988,,,,,,,
64.0,F1989,,,,,,,
64.0,F1990,,,,,,,
64.0,F1991,,,,,,,
64.0,F1992,,,,,,,
64.0,F1993,,,,,,,
64.0,F1994,,,1.0,,1.0,2.0,
64.0,F1995,,,,,,,
64.0,F1996,,,,,,,
64.0,F1997,,,,,,,
64.0,F1998,,,,,,,
64.0,F1999,,,,,,1.0,1.0
64.0,F2000,,,1.0,,,1.0,
64.0,F2001,,,,,,,
64.0,F2002,,,,,,,
64.0,F2003,,,,,,,
64.0,F2004,,,1.0,,,1.0,
64.0,F2005,,,,,,,
64.0,F2006,,,,,,,
64.0,F2007,,,,,,,
64.0,F2008,,,,,,,
64.0,F2009,,,,,1.0,1.0,
64.0,F2010,,,,,,,
64.0,F2011,,,,,,,
64.0,F2012,,,,,,,
64.0,F2013,,,,,,,
64.0,F2014,,,,,,,
64.0,F2015,,,,,,,
64.0,F2016,,,,,,,
64.0,F2017,,,,,,,
64.0,F2018,,,,,,,
64.0,F2019,,,,,,,
64.0,F2020,,,,,,,
64.0,F2021,,,1.0,,,1.0,
64.0,F2022,,,,,,,
68.0,F1980,,,1.0,,,1.0,
68.0,F1981,,,,,,,
