ID,ISO_Code,Year,Temperature_change,Drought,Extreme_temperature,Flood,Landslide,Storm,TOTAL,Wildfire
134,12.0,1970,0.116,,,,,,,
135,12.0,1971,-0.385,,,,,,,
136,12.0,1972,-0.348,,,,,,,
137,12.0,1973,-0.015,,,,,,,
138,12.0,1974,-0.503,,,,,,,
139,12.0,1975,-0.539,,,,,,,
140,12.0,1976,-0.782,,,,,,,
141,12.0,1977,0.504,,,,,,,
142,12.0,1978,0.012,,,,,,,
143,12.0,1979,0.654,,,,,,,
144,12.0,1980,0.232,,,,,,,
145,12.0,1981,0.215,1.0,,1.0,,,2.0,
146,12.0,1982,0.399,,,1.0,,,1.0,
147,12.0,1983,0.56,,,,,,,
148,12.0,1984,-0.004,,,1.0,,,1.0,
149,12.0,1985,0.508,,,1.0,,,1.0,
150,12.0,1986,0.296,,,,,,,
151,12.0,1987,0.975,,,,,,,
152,12.0,1988,1.304,,,,,1.0,1.0,
153,12.0,1989,0.386,,,,,,,
154,12.0,1990,1.266,,,,,,,
155,12.0,1991,0.031,,,,,,,
156,12.0,1992,-0.312,,,1.0,,,1.0,
157,12.0,1993,0.552,,,1.0,1.0,,2.0,
158,12.0,1994,0.732,,,2.0,,,3.0,1.0
159,12.0,1995,0.595,,,,,,,
160,12.0,1996,0.846,,,1.0,,,1.0,
161,12.0,1997,1.059,,,1.0,,,1.0,
162,12.0,1998,1.109,,,,,,,
163,12.0,1999,1.476,,,1.0,,,1.0,
164,12.0,2000,0.82,,,4.0,,1.0,5.0,
165,12.0,2001,1.856,,,1.0,,,1.0,
166,12.0,2002,1.258,,,3.0,,,3.0,
167,12.0,2003,1.585,,1.0,3.0,,1.0,5.0,
168,12.0,2004,0.988,,,2.0,,,2.0,
169,12.0,2005,1.264,,,2.0,,1.0,3.0,
170,12.0,2006,1.395,,,1.0,,,1.0,
171,12.0,2007,1.22,,,6.0,,,7.0,1.0
172,12.0,2008,1.185,,,1.0,,,1.0,
173,12.0,2009,0.945,,,2.0,,,2.0,
174,12.0,2010,2.265,,,,,,,
175,12.0,2011,1.398,,,1.0,,,1.0,
176,12.0,2012,1.147,,,2.0,,,2.0,
177,12.0,2013,1.192,,,,,,,
178,12.0,2014,1.69,,,,,,,
179,12.0,2015,1.121,,,2.0,,,2.0,
180,12.0,2016,1.757,,,,,,,
181,12.0,2017,1.512,,1.0,,,,1.0,
182,12.0,2018,1.21,,,1.0,,,1.0,
183,12.0,2019,1.115,,1.0,,,,1.0,
184,12.0,2020,1.926,,,,,,,
185,12.0,2021,2.33,,,2.0,,,3.0,1.0
186,12.0,2022,1.688,,,,,,1.0,1.0
187,16.0,1961,0.079,,,,,,,
188,16.0,1962,-0.042,,,,,,,
189,16.0,1963,0.169,,,,,,,
190,16.0,1964,-0.14,,,,,,,
191,16.0,1965,-0.562,,,,,,,
192,16.0,1966,0.181,,,,,,,
193,16.0,1967,-0.368,,,,,,,
194,16.0,1968,-0.187,,,,,,,
195,16.0,1969,0.132,,,,,,,
196,16.0,1970,-0.047,,,,,,,
197,16.0,1971,-0.477,,,,,,,
198,16.0,1972,-0.067,,,,,,,
